doc_id,trail_date,litigant_name,litigant_type,case_reason, status, 备注,url
3d98e41a-9e9f-4349-8027-a7f900879803,2017.4.5 0:00, 黄山市锐新金属装饰有限公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=3d98e41a-9e9f-4349-8027-a7f900879803&trailDate=2017-04-05
36689c4e-169b-4e1a-b308-a8280162e0cf,2017.5.27 0:00, 西安曼联德高物业管理临汾分公司, , 劳动争议, E, 页面显示错误TypeError:',http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=36689c4e-169b-4e1a-b308-a8280162e0cf&trailDate=2017-05-27
e0539e44-c42c-469d-8f09-a83900aa965f,2017.10.25 0:00, 中国人民财产保险股份有限公司淮北市分公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=e0539e44-c42c-469d-8f09-a83900aa965f&trailDate=2017-10-25
8d2d5074-3301-4d10-9f4a-a7b4010e4072,2017.6.28 0:00, 酉阳县金鑫化工有限责任公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=8d2d5074-3301-4d10-9f4a-a7b4010e4072&trailDate=2017-06-28
96d61c0a-73e1-4a08-a6e7-4e9e9f94146c,2017.6.15 0:00, 辽宁省有色地质局一Ｏ三队, 被告, 追索劳动报酬纠纷, S, "update judgedoc_litigant set litigant_type = '被告' litigant_type_alias = '2' where doc_id = '96d61c0a-73e1-4a08-a6e7-4e9e9f94146c' and litigant_name='辽宁省有色地质局一Ｏ三队';",http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=96d61c0a-73e1-4a08-a6e7-4e9e9f94146c&trailDate=2017-06-15
23419088-f25a-463b-8158-a79f00a57b7e,2017.6.7 0:00, 桦甸市惠邦木业有限责任公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=23419088-f25a-463b-8158-a79f00a57b7e&trailDate=2017-06-07
f9ae3680-3dcd-4c2f-ae27-a79f017f312e,2017.3.17 0:00, 渤海财产保险股份有限公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=f9ae3680-3dcd-4c2f-ae27-a79f017f312e&trailDate=2017-03-17
5f5a9eee-5604-42ca-a8e7-a79e011add54,2017.5.27 0:00, 刘珊尹海涛, , , E, 页面为空没有相关数据仅只显示的字样为离婚诉讼或者涉及未成年子女抚养、监护的,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=5f5a9eee-5604-42ca-a8e7-a79e011add54&trailDate=2017-05-27
84eec1ae-e8f7-4088-82ce-a7a5012a8238,2017.6.12 0:00, 徐家（加）军, 原告, , S, "update judgedoc_litigant set litigant_type = '原告' litigant_type_alias = '1' where doc_id = '84eec1ae-e8f7-4088-82ce-a7a5012a8238' and litigant_name='徐家（加）军';",http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=84eec1ae-e8f7-4088-82ce-a7a5012a8238&trailDate=2017-06-12
e7cfd3ee-c865-4b51-89de-a74e00a2bd2a,2017.3.14 0:00, 重庆市赐福实业有限公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=e7cfd3ee-c865-4b51-89de-a74e00a2bd2a&trailDate=2017-03-14
d85eddea-70b9-4427-8072-a7cf00c948f4,2017.5.12 0:00, 鼎德物业（天津）有限公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=d85eddea-70b9-4427-8072-a7cf00c948f4&trailDate=2017-05-12
7d955e42-0759-4f35-a0fb-a7ad00b1b748,2017.6.2 0:00, 重庆欧博房地产开发有限公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=7d955e42-0759-4f35-a0fb-a7ad00b1b748&trailDate=2017-06-02
b1928022-7156-4ac7-b2d2-a7d2009bf389,2017.5.23 0:00, 中国人民财产保险股份有限公司象山支公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=b1928022-7156-4ac7-b2d2-a7d2009bf389&trailDate=2017-05-23
63add1b0-8dca-4ec5-a13b-a7d100c6046e,2017.7.20 0:00, 西安雅荷紫金御房地产开发有限公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=63add1b0-8dca-4ec5-a13b-a7d100c6046e&trailDate=2017-07-20
63add1b0-8dca-4ec5-a13b-a7d100c6046e,2017.7.20 0:00, 西安分公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=63add1b0-8dca-4ec5-a13b-a7d100c6046e&trailDate=2017-07-20
63add1b0-8dca-4ec5-a13b-a7d100c6046e,2017.7.20 0:00, 汕头市达濠建筑总公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=63add1b0-8dca-4ec5-a13b-a7d100c6046e&trailDate=2017-07-20
656d56d6-fd93-466c-82b5-a74600962310,2017.2.17 0:00, 宁国市华骏行汽车销售有限公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=656d56d6-fd93-466c-82b5-a74600962310&trailDate=2017-02-17
5375f60d-3b86-4076-af6b-a849015498cd,2017.10.10 0:00, 安徽迈吉尔模具有限公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=5375f60d-3b86-4076-af6b-a849015498cd&trailDate=2017-10-10
